train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/policy_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,time/iterations,train/learning_rate,train/explained_variance
2619,-6.032491683959961,9617,0.09364297142857143,0.014212306588888168,4024320,62.04,418,-0.815707802772522,0.8942782282829285,2620,0.00015632914285714284,-0.4141714572906494
2639,-7.410260200500488,9692,0.09283108571428572,0.008951801806688309,4055040,74.02,418,-0.8192241191864014,0.8653551936149597,2640,0.00015523199999999997,-0.4478795528411865
2659,-7.981733322143555,9766,0.09201920000000002,0.010295839980244637,4085760,75.02,418,-0.8150299787521362,0.9318032264709473,2660,0.00015413485714285712,-0.05658721923828125
2679,-7.985736846923828,9841,0.09120731428571431,0.008310831151902676,4116480,76.58,418,-0.8195313811302185,1.08180832862854,2680,0.00015303771428571428,-0.037566184997558594
2699,-6.603384971618652,9915,0.09039542857142857,0.004500178154557943,4147200,67.71,418,-0.82318115234375,0.71513432264328,2700,0.0001519405714285714,0.0023279190063476562
2719,-5.459397792816162,9989,0.08958354285714286,0.007139630615711212,4177920,55.48,418,-0.8339567184448242,0.8096641302108765,2720,0.00015084342857142857,-0.12473559379577637
2739,-5.707700252532959,10065,0.08877165714285716,0.015000639483332634,4208640,62.07,418,-0.8295037150382996,0.632243275642395,2740,0.0001497462857142857,-0.2958054542541504
2759,-6.342970371246338,10141,0.08795977142857145,0.023126818239688873,4239360,62.09,418,-0.8081223368644714,0.998182475566864,2760,0.00014864914285714283,-0.444002628326416
2779,-6.237646102905273,10217,0.08714788571428574,0.01612662896513939,4270080,61.81,417,-0.8229866027832031,0.8739277720451355,2780,0.00014755199999999999,-0.26431214809417725
2799,-6.8571577072143555,10293,0.08633600000000002,0.005780432373285294,4300800,71.67,417,-0.825020968914032,0.7247657775878906,2800,0.00014645485714285714,-0.11056768894195557
2819,-5.415875434875488,10368,0.0855241142857143,0.011443838477134705,4331520,56.96,417,-0.8223210573196411,0.6709288358688354,2820,0.00014535771428571427,-0.07788848876953125
2839,-6.3199992179870605,10444,0.08471222857142859,0.01360601931810379,4362240,66.64,417,-0.8173784017562866,0.8329987525939941,2840,0.0001442605714285714,-0.14898359775543213
2859,-7.882060527801514,10519,0.08390034285714287,0.019914984703063965,4392960,80.43,417,-0.8216936588287354,0.7297264933586121,2860,0.00014316342857142856,-0.4211772680282593
