rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/ent_coef,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/policy_loss,train/entropy_loss
127.22,1828,318,-3.704604148864746,142,581632,0.17719424,4.22464e-05,141,0.3759722411632538,-0.1920466423034668,0.021476715803146362,-0.6609768867492676
123.89,1841,318,-3.6519620418548584,143,585728,0.17492096000000001,4.18368e-05,142,0.33758544921875,-0.014494895935058594,0.014994140714406967,-0.6609950661659241
117.32,1855,317,-3.44477915763855,144,589824,0.17264767999999997,4.14272e-05,143,0.3210826814174652,-0.08316922187805176,0.005942793563008308,-0.6598674654960632
115.41,1869,317,-3.5275182723999023,145,593920,0.17037439999999998,4.10176e-05,144,0.34183529019355774,-0.09734582901000977,0.013387549668550491,-0.6604419350624084
116.14,1883,317,-3.445180892944336,146,598016,0.16810112000000005,4.0608e-05,145,0.37742912769317627,-0.11357367038726807,0.018411848694086075,-0.661113977432251
116.64,1896,317,-3.3900797367095947,147,602112,0.16582784,4.0198400000000005e-05,146,0.32011735439300537,0.016402244567871094,0.012274184264242649,-0.6625277400016785
118.29,1909,317,-3.2209365367889404,148,606208,0.16355456000000002,3.97888e-05,147,0.37199878692626953,-0.08133745193481445,0.013778401538729668,-0.6622653007507324
126.61,1922,317,-3.5871593952178955,149,610304,0.16128127999999997,3.9379200000000004e-05,148,0.3603050112724304,-0.18055689334869385,0.014336389489471912,-0.6624375581741333
124.72,1935,317,-3.657052516937256,150,614400,0.15900800000000004,3.89696e-05,149,0.3588355779647827,-0.08919715881347656,0.016874508932232857,-0.6603760719299316
124.36,1948,317,-3.822629451751709,151,618496,0.15673472,3.8560000000000004e-05,150,0.3064054548740387,-0.06000649929046631,0.020631665363907814,-0.6604020595550537
117.89,1961,317,-3.286087989807129,152,622592,0.15446144,3.81504e-05,151,0.3533848524093628,-0.052194952964782715,0.015264933928847313,-0.6606954336166382
113.76,1974,317,-2.846553087234497,153,626688,0.15218815999999996,3.77408e-05,152,0.32167574763298035,-0.11847686767578125,0.01500419806689024,-0.662375271320343
112.58,1988,317,-2.805708885192871,154,630784,0.14991487999999997,3.73312e-05,153,0.3746510446071625,-0.19913887977600098,0.018212852999567986,-0.6636220812797546
117.02,2001,317,-3.135319471359253,155,634880,0.14764160000000004,3.69216e-05,154,0.3783149719238281,-0.3077211380004883,0.008613325655460358,-0.6612763404846191
116.37,2013,317,-3.2966442108154297,156,638976,0.14536832,3.6512000000000005e-05,155,0.3159542977809906,-0.18269753456115723,0.016963191330432892,-0.6608433723449707
118.73,2026,317,-3.4933385848999023,157,643072,0.14309504,3.61024e-05,156,0.3502020239830017,-0.19077694416046143,0.01599290408194065,-0.6600373983383179
115.88,2039,317,-3.1940195560455322,158,647168,0.14082175999999996,3.5692800000000005e-05,157,0.3949761986732483,-0.23710036277770996,0.019567731767892838,-0.6605355739593506
118.34,2052,317,-3.2427098751068115,159,651264,0.13854848000000003,3.52832e-05,158,0.3800869584083557,-0.1981830596923828,0.01203916221857071,-0.6618676781654358
124.15,2065,317,-3.3796985149383545,160,655360,0.13627519999999999,3.4873600000000004e-05,159,0.3868899643421173,-0.06775009632110596,0.01346606481820345,-0.6627075672149658
127.42,2078,317,-3.4605541229248047,161,659456,0.13400192,3.4464e-05,160,0.370305597782135,-0.015995144844055176,0.01320071704685688,-0.661647617816925
124.6,2091,317,-3.3772406578063965,162,663552,0.13172863999999995,3.4054400000000004e-05,161,0.3405642807483673,-0.19402039051055908,0.01966647058725357,-0.6630215644836426
121.4,2104,317,-3.280898332595825,163,667648,0.12945536000000002,3.36448e-05,162,0.3457871377468109,-0.10392999649047852,0.01640656404197216,-0.6613051295280457
120.22,2117,317,-3.3860647678375244,164,671744,0.12718208000000003,3.32352e-05,163,0.3196660280227661,-0.24912166595458984,0.022948041558265686,-0.6600794792175293
128.69,2130,317,-3.824713945388794,165,675840,0.12490879999999999,3.2825600000000006e-05,164,0.3824571967124939,-0.0689014196395874,0.014944011345505714,-0.6622880697250366
