time/fps,train/learning_rate,train/policy_loss,train/explained_variance,time/time_elapsed,train/ent_coef,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,time/iterations,train/n_updates,train/entropy_loss,rollout/ep_len_mean
233,8.441088000000001e-05,-0.1426178365945816,0.9598446600139141,14597,0.086422144,6.668433666229248,0.048707105219364166,3407872,416,415,-0.3407292068004608,87.37
233,8.3296768e-05,-0.14904603362083435,0.9537455178797245,14756,0.08484928000000003,6.591068744659424,0.055803343653678894,3440640,420,419,-0.339316189289093,92.43
232,8.218265600000001e-05,-0.1768503487110138,0.9598295763134956,14914,0.08327641599999999,6.663638114929199,0.0465775765478611,3473408,424,423,-0.35298460721969604,82.79
232,8.1068544e-05,-0.13945095241069794,0.9461420364677906,15061,0.08170355200000001,6.747604846954346,0.06692473590373993,3506176,428,427,-0.32005247473716736,84.17
232,7.995443200000001e-05,-0.17451290786266327,0.9534776769578457,15207,0.080130688,6.736624717712402,0.054172225296497345,3538944,432,431,-0.3268378973007202,81.83
232,7.884032e-05,-0.15393847227096558,0.9590746015310287,15348,0.078557824,6.6733784675598145,0.048679597675800323,3571712,436,435,-0.33088526129722595,87.12
232,7.772620799999999e-05,-0.1771259605884552,0.9579809755086899,15484,0.07698496000000002,6.5854620933532715,0.05547814816236496,3604480,440,439,-0.34017688035964966,85.91
232,7.6612096e-05,-0.1789807826280594,0.953871063888073,15613,0.07541209600000001,6.52943229675293,0.062298230826854706,3637248,444,443,-0.3256738781929016,84.61
233,7.5497984e-05,-0.20467853546142578,0.9529373049736023,15741,0.073839232,6.451535224914551,0.0474209263920784,3670016,448,447,-0.3133280575275421,92.82
233,7.438387200000001e-05,-0.19874918460845947,0.9565310478210449,15871,0.072266368,6.767377853393555,0.05372122675180435,3702784,452,451,-0.33396241068840027,81.11
233,7.326976e-05,-0.15084487199783325,0.9550442919135094,15999,0.07069350400000002,6.821493625640869,0.05961048603057861,3735552,456,455,-0.318287193775177,79.04
233,7.215564800000002e-05,-0.19642391800880432,0.9512337855994701,16130,0.06912064000000001,6.604364395141602,0.05820930376648903,3768320,460,459,-0.3288835287094116,87.12
233,7.1041536e-05,-0.2341158539056778,0.9409132823348045,16251,0.067547776,6.658022880554199,0.06567645817995071,3801088,464,463,-0.32374107837677,82.17
234,6.992742400000001e-05,-0.1939510703086853,0.9513585604727268,16370,0.065974912,6.503817558288574,0.055003680288791656,3833856,468,467,-0.3331882357597351,85.49
234,6.881331200000001e-05,-0.18362843990325928,0.9516150839626789,16488,0.06440204799999999,6.530684947967529,0.0574125237762928,3866624,472,471,-0.32950514554977417,85.52
234,6.769919999999999e-05,-0.21400514245033264,0.9459366574883461,16609,0.06282918400000001,6.432037830352783,0.06282231211662292,3899392,476,475,-0.3146817684173584,83.86
235,6.6585088e-05,-0.19615896046161652,0.9494439363479614,16726,0.06125632,6.623939037322998,0.059207260608673096,3932160,480,479,-0.31140896677970886,82.18
235,6.5470976e-05,-0.2000209391117096,0.948183286935091,16841,0.059683456000000024,6.559053421020508,0.06094064563512802,3964928,484,483,-0.314140260219574,81.92
235,6.435686400000001e-05,-0.22249197959899902,0.9448645375669003,16960,0.058110592000000016,6.63283634185791,0.058786459267139435,3997696,488,487,-0.32141584157943726,83.98
235,6.3242752e-05,-0.254909873008728,0.9444227702915668,17078,0.05653772799999998,6.48795223236084,0.056951023638248444,4030464,492,491,-0.31099337339401245,84.2
236,6.212864000000002e-05,-0.20376047492027283,0.9498602971434593,17195,0.054964864,6.213098049163818,0.0607559010386467,4063232,496,495,-0.3233602046966553,89.88
236,6.1014528e-05,-0.16482684016227722,0.9429569095373154,17314,0.053391999999999995,6.180601119995117,0.06879504770040512,4096000,500,499,-0.3174152076244354,85.74
